,Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
30,Power Industry,Burundi,0.000301137,0.000301137,0.000360901,0.000360901,0.000340979,0.0004608697,0.005505429,0.005371699,0.006071724,0.006506787,0.00904162,0.01249256,0.01091373,0.01366925,0.01829005,0.01797064,0.02041708,0.02206399,0.03283062,0.02830181,0.04356059,0.06165243,0.04755483,0.05299418,0.05352168,0.04904282,0.05436162,0.05289297,0.05985513,0.05870715,0.05685176,0.04607441,0.04250847,0.03314264,0.04286651,0.03324697,0.04445397,0.07097192,0.04185556,0.04076136,0.04463646,0.0526348636,0.04127793,0.045699188,0.03725046,0.057766632,0.07468005,0.03841922,0.04039148,0.04214407,0.03479719
31,Power Industry,Cabo Verde,0.000856031,0.000856031,0.001025922,0.001025922,0.000969291,0.0013100959,0.01565015,0.01526996,0.0172599,0.01849664,0.02570238,0.03107328,0.01329607,0.01457141,0.01906397,0.01873108,0.006453124,0.006947203,0.008930746,0.00820482,0.01199508,0.0147785,0.01467678,0.01438557,0.0163187,0.01515036,0.01805372,0.01757064,0.01912128,0.01875481,0.05740816,0.06743306,0.07551058,0.0739149,0.08320717,0.1269335,0.1448498,0.151693,0.1573163,0.1492981,0.1556078,0.1814179,0.138184,0.126684946,0.13612223,0.13137287,0.14803015,0.14869879,0.15633228,0.15764568,0.14064585
32,Power Industry,Cambodia,0.01524566,0.01524566,0.0312863,0.04683207,0.0553694,0.05640857,0.0645074,0.1005589,0.0732974,0.0807605,0.083228,0.0897049,0.1005733,0.113765,0.1156529,0.1364463,0.1372723,0.1468427,0.1533496,0.1349174,0.1316215,0.1384178,0.146456,0.1549587,0.09884002,0.1610562,0.2023685,0.2607927,0.3123598,0.342117,0.3777988,0.4259861,0.5873326,0.6072545,0.6627689,0.7725585,0.9466559,1.2114727,1.2261999,1.0361662,0.8076137,0.8438979,0.7670175,0.6744738,1.21423556,2.50237479,2.98707001,4.1384659,3.3764747,6.3225705,6.2973717
33,Power Industry,Cameroon,0.0320853,0.0320853,0.038532,0.0417183,0.0449046,0.0449046,0.0513513,0.0577239,0.0641706,0.0641706,0.0738036,0.0834366,0.0866229,0.0738036,0.0577239,0.0449046,0.0417183,0.0480909,0.0449046,0.038532,0.0352716,0.0352716,0.0320853,0.0256386,0.028899,0.028899,0.028899,0.0320853,0.0480909,0.038532,0.0352716,0.0577239,0.0898092,0.115522,0.1151644,0.163707,0.4266586,0.8582346,0.9214123,1.1456686,1.2337459,0.9542766,0.8706106,1.3606683,1.7085889,1.95718,2.059345,2.201285,2.54719,2.189035,2.099651
34,Power Industry,Canada,45.120548,49.461660404,50.255645936,51.988549166,50.641589838,54.087997102,58.793537442,65.681164687,64.437647609,68.9100476579,74.7484358159,72.9105270014,79.2859939005,85.3214938081,91.9213251903,87.807449632,80.3072314238,90.0185344838,99.2277375275,108.6022226994,97.1513317103,98.61449477,105.16640828139,95.71108759616,98.2725554829,102.0079330435,100.748447947,111.9525341019,125.0799662137,123.7718877544,135.4490038967,137.8269754316,131.9086569566,137.7242641885,129.8905472595,125.5118127926,123.6726360344,133.3605539182,122.26771585946,108.69417142761,111.37001774935,107.71886811549,102.7018683895,101.605871976983,102.117898796826,103.667405298975,100.59477419946,94.81012156152,87.720094504705,86.943708867775,74.85530781618
35,Power Industry,Cayman Islands,0.029992209,0.029992209,0.02951803,0.03326964,0.02963201,0.03687738,0.03951516,0.04085675,0.04867675,0.04232825,0.04232193,0.04507546,0.04433084,0.03898771,0.049374258,0.050576095,0.047052882,0.051298,0.12543968,0.103700426,0.112146048,0.126087803,0.137302788,0.103948254,0.119580497,0.142393299,0.1429467627,0.1293401755,0.1309719892,0.113208759,0.16564393,0.16916454,0.17419772,0.19575322,0.18825273,0.19265205,0.18887492,0.22214265,0.23542177,0.23496542,0.2765171296,0.3122577785,0.2838720843,0.2858416509,0.2851501778,0.30174003,0.28540009,0.18985513,0.18437067,0.17995629,0.15559403
36,Power Industry,Central African Republic,0.000430468,0.000430468,0.000515899,0.000515899,0.000487422,0.0006588031,0.00786991,0.00767874,0.00867941,0.00930132,0.0129248,0.02031329,0.02184137,0.02564611,0.02562237,0.02517487,0.03430603,0.03195608,0.02982462,0.02242639,0.03517483,0.0460152,0.03666425,0.04006822,0.04093195,0.03906426,0.04360752,0.04243126,0.04617597,0.04529059,0.05800039,0.06319912,0.06504576,0.06046294,0.0619943,0.06179268,0.06971286,0.06671414,0.06942693,0.06964039,0.06990284,0.072581818,0.06671054,0.062398252,0.062854777,0.06175992,0.06678859,0.066459,0.06987061,0.06688249,0.05835009
37,Power Industry,Chad,0.000861799,0.000861799,0.001032833,0.001032833,0.000975822,0.0013189286,0.01575561,0.01537286,0.01737621,0.01862127,0.02587549,0.02971846,0.02967157,0.03251761,0.01648805,0.01980012,0.03838056,0.03456324,0.01954465,0.01615817,0.04950595,0.05963906,0.05015849,0.02364795,0.02506833,0.02392709,0.02538284,0.02674739,0.0291079,0.02854965,0.04413945,0.04445258,0.04516328,0.04388654,0.04763622,0.04996905,0.05450593,0.05164829,0.05313977,0.05630655,0.05926654,0.061973447,0.05481187,0.052063336,0.051876469,0.051625717,0.05614284,0.05472292,0.05753203,0.0550716,0.04804604
38,Power Industry,Chile,3.8111847,3.8111847,3.3241806,3.2514117,3.0128575,2.3929616,2.7148886,2.8358756,3.1291766,3.7006679,3.8503642,3.7708734,2.8907026,2.90807,3.4829326,3.020862,2.9199492,2.8255312,4.5461755,7.312714397,8.3070179,5.8036246,4.2366549,4.548299,6.5073873,7.3207681,10.58161,12.82916203,14.85702398,17.664584,13.7202969,11.48958971,11.98418553,13.6348126,16.59237228,16.78125879,16.98464136,22.413782026,24.195920751,22.8648331875,25.09539135,29.41403834,34.17233578,35.20449002,29.54134929,33.041394531,35.11804122,34.55203293972,33.38377138597,34.37245211645,32.74659492051
39,Power Industry,China,129.8274135,129.8274054,140.162822,150.912579,147.716097,176.127564,181.830811,205.151129,269.583326,294.747735,310.089571,309.508129,319.337702,334.543507,364.688531,393.031508,424.444068615,473.589060067,529.454941582,577.679364575,639.20412791,704.1061861,780.404074087,890.48024198,966.37218618,1058.495041729,1208.35529586,1189.0243942,1259.2529651569,1295.17896528884,1426.84908702796,1506.57533376685,1686.00771485965,1996.10024789138,2203.9208271352,2373.24055173118,2686.1865056811,2930.6083554846,2961.78977192677,3143.73494957595,3477.50936156883,3954.70720996473,4076.15675481638,4347.39594943265,4272.60878760916,4243.46487306808,4351.98916301282,4591.27600407238,4709.3988365142,4757.94675210083,4794.32093409057
